Bulan Pemesanan,Nama Produk,Kontraktor,Kode Produk,Quantity,Contact person
Januari,Lampu LED 20 Watt,CV. Selaras,Uniled 20 Watt,10,Bapak Fauzi
Januari,Lampu LED 30 Watt,CV. Selaras,Uniled 30 Watt,30,Bapak Fauzi
Januari,Solar Cell 50 WP,CV. Selaras,SC 50 WP,500,Bapak Fauzi
Januari,Regulator,CV. Selaras,BCR,70,Bapak Fauzi
Januari,Lampu LED 20 Watt,PT. Panji Makmur,Uniled 20 Watt,40,Bapak Rosidi
Januari,Lampu LED 30 Watt,PT. Panji Makmur,Uniled 30 Watt,65,Bapak Rosidi
Januari,Lampu LED 40 Watt,PT. Panji Makmur,Uniled 40 Watt,20,Bapak Rosidi
Januari,Lampu LED 60 Watt,PT. Panji Makmur,Uniled 60 Watt,30,Bapak Rosidi
Januari,Lampu LED 20 Watt,PT. PJB Brantas,Uniled 20 Watt,150,Bapak Muclish
Januari,Regulator,PT. PJB Brantas,BCR,30,Bapak Muclish
Januari,Solar Home System 100 WP,CV. Aneka Surya,SHS 100 WP,150,Bapak Andre
Januari,Penerangan Jalan Umum 60 Watt,CV. Bursa Energy,PJU 60 Watt,70,Bapak Syaifuddin
Januari,Lampu Industri 40 Watt,CV. Bursa Energy,LI 40 Watt,40,Bapak Syaifuddin
Januari,Lampu Industri 60 Watt,CV. Bursa Energy,LI 60 Watt,30,Bapak Syaifuddin
Januari,Regulator,CV. Bursa Energy,BCR,60,Bapak Syaifuddin
Februari,Lampu Heavy Duty 40 Watt,CV. Solar Energy,LHD 40 Watt,10,Bapak Andrianta
Februari,Lampu Industri 60 Watt,CV. Solar Energy,LI 60 Watt,20,Bapak Andrianta
Februari,Regulator,CV. Solar Energy,BCR,50,Bapak Andrianta
Februari,Solar Cell 50 WP,CV. Solar Energy,SC 50 WP,300,Bapak Andrianta
Februari,Penerangan Jalan Umum 60 Watt,PT. BELL,PJU 60 Watt,150,Bapak Rizal
Februari,Lampu Heavy Duty 40 Watt,PT. BELL,LHD 40 Watt,200,Bapak Rizal
Februari,Solar Cell 50 WP,PT. BELL,SC 50 WP,600,Bapak Rizal
Februari,Lampu Land Scape 40 Watt,PT. BELL,LLS 40 Watt,450,Bapak Rizal
Februari,Solar Cell 50 WP,CV. Aneka Surya,SC 50 WP,250,Bapak Andre
Februari,Lampu LED 60 Watt,CV. Aneka Surya,Uniled 60 Watt,50,Bapak Andre
Februari,Regulator ,CV. Aneka Surya,BCR,40,Bapak Andre
Maret,Lampu LED 20 Watt,PT. BELL,Uniled 20 Watt,150,Bapak Rizal
Maret,Lampu LED 30 Watt,PT. BELL,Uniled 30 Watt,150,Bapak Rizal
Maret,Lampu LED 40 Watt,PT. BELL,Uniled 40 Watt,150,Bapak Rizal
Maret,Lampu LED 60 Watt,PT. BELL,Uniled 60 Watt,150,Bapak Rizal
Maret,Penerangan Jalan Umum 60 Watt,PT. PJB Brantas,PJU 60 Watt,100,Bapak Muclish
Maret,Lampu Industri 60 Watt,PT. PJB Brantas,LI 60 Watt,70,Bapak Muclish
Maret,Solar Cell 50 WP,PT. PJB Brantas,SC 50 WP,250,Bapak Muclish
Maret,Solar Home System 100 WP,PT. Panji Makmur,SHS 100 WP,170,Bapak Rosidi
Maret,Regulator ,PT. Panji Makmur,BCR,80,Bapak Rosidi
Maret,Solar Cell 50 WP,PT. Panji Makmur,SC 50 WP,200,Bapak Rosidi
Maret,Inverter ,PT. Panji Makmur,Inv,470,Bapak Rosidi
Maret,Lampu LED 20 Watt,CV. Selaras,Uniled 20 Watt,60,Bapak Fauzi
Maret,Lampu LED 30 Watt,CV. Selaras,Uniled 30 Watt,30,Bapak Fauzi
Maret,Lampu Heavy Duty 40 Watt,CV. Selaras,LHD 40 Watt,15,Bapak Fauzi
Maret,Inverter ,CV. Selaras,Inv,50,Bapak Fauzi
April,Lampu Land Scape 40 Watt,PT. Aditarwan,LLS 40 Watt,230,Bapak Aditya 
